assetnum,wonum,description,problemcode,problemcode_description,matched_component,match_score
CU02014,106296,Started #14 chiller.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.6421751379966736, 0.638942301273346, 0.6375550627708435]"
CU02014,92960,Chiller 14 Circulating Oil Mobil DTE Medium,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6650397777557373, 0.6276929378509521, 0.6187431216239929]"
CU02014,134440,#14 oil system,CF-P004,Compressor failure,"['Compressor System Failure: Inadequate system differential pressure', 'Compressor, Lubrication Failure: High or low oil pressure', 'Compressor, Lubrication Failure: Incorrect oil']","[0.607218861579895, 0.5477834939956665, 0.5423186421394348]"
CU02014,90937,Change refrigerant filters #14 chiller.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.586694598197937, 0.5670310258865356, 0.5591632723808289]"
CU02014,93427,Transfer refrigerant #13 chiller.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Misadjustment']","[0.5831528902053833, 0.5678176879882812, 0.5457397699356079]"
CU02014,7119,Check out chilled water piping on #14 chiller.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.6372630000114441, 0.6328135132789612, 0.6126885414123535]"
CU02014,7133,Transferred refrigerant #14 chiller,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Misadjustment']","[0.5859843492507935, 0.5643806457519531, 0.5470451712608337]"
CU02014,105131,Add oil to #14 gearbox and compressor.,CF-P002,No pumping/insufficient fluid flow,"['Compressor, Lubrication Failure: Low oil level', 'Compressor, Lubrication Failure: High or low oil pressure', 'Compressor, Lubrication Failure: Incorrect oil']","[0.5465757250785828, 0.5352852940559387, 0.5178004503250122]"
CU02014,100149,Add oil #14 chiller.,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Misadjustment']","[0.6531140804290771, 0.6169398427009583, 0.5997453927993774]"
CU02702,140566,Switch chillers and towers.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.5818992257118225, 0.5657113194465637, 0.546241044998169]"
CU02702,130850,Refrigerant alarm.,CF-P003,No cooling/insufficient cooling,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Metering Device: Plugged', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.49491003155708313, 0.46424323320388794, 0.462338387966156]"
CU02702,130554,Switched equipment.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.4978705942630768, 0.4782308340072632, 0.45901569724082947]"
CU02702,128707,Charge velhclih,CF-P003,No cooling/insufficient cooling,"['Refrigerant Metering Device: Failed float valve', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Heat Exchangers: Evaporator: Water side freezing']","[0.3940984010696411, 0.364825040102005, 0.3644287884235382]"
CU02702,125081,Refrigerant leak on chiller #2.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.6444424390792847, 0.6432499885559082, 0.6364120244979858]"
CU02702,124250,Change filters.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Heat Exchangers: Condenser: Improper water side flow rate', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.4078134596347809, 0.40613415837287903, 0.39637455344200134]"
CU02702,106069,Chiller 2 tripped (vsd oil pump),CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6503229737281799, 0.6170790195465088, 0.6079686880111694]"
CU02702,121400,Switch chillers and CWP.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.6317855715751648, 0.6300544738769531, 0.6018965840339661]"
CU02702,135363,grease,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Compressor, Lubrication Failure: Low oil level']","[0.4726809859275818, 0.4656999707221985, 0.4502579867839813]"
CU02702,110309,Excessive Surge #2 chiller B/027 safety shutdown.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.5939570069313049, 0.5724222660064697, 0.5671291947364807]"
CU02702,109497,#2 chiller oil problem.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.7059542536735535, 0.662587583065033, 0.6619310975074768]"
CU02702,30296,FIBI:Greased #2 compressor motor in B027 and #9 in B/020.,CF-P001,No power,"['Compressor, Impeller: Wear, cracked', 'Compressor System Failure: Inadequate system differential pressure', 'Compressor, Lubrication Failure: Incorrect oil']","[0.5379209518432617, 0.5148290395736694, 0.49712416529655457]"
CU02702,121603,TROUBLE SHOOT # 2 CHILLER.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6295627355575562, 0.6071859002113342, 0.5980722904205322]"
CU02702,124248,Lights out in B/027 LC,CF-P001,No power,"['Compressor System Failure: Inadequate system differential pressure', 'Refrigerant Metering Device: Failed float valve', 'Refrigerant Operated Control Valve: Failed spring']","[0.3477933704853058, 0.3235282301902771, 0.30042263865470886]"
CU02703,162194,Lubraction #3 chiller.,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.5704758763313293, 0.5659539699554443, 0.5378633141517639]"
CU02703,144437,Chiller #3 tripped.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.665317952632904, 0.663123369216919, 0.6592657566070557]"
CU02703,163782,Grease # 3 chiller.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6544403433799744, 0.6337916254997253, 0.6208884119987488]"
CU02703,164144,Test regulator.,CF-P003,No cooling/insufficient cooling,"['Refrigerant Metering Device: Failed float valve', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.43416568636894226, 0.426195353269577, 0.42464250326156616]"
CU02703,144081,Start and switch chillers,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6195517778396606, 0.5951281189918518, 0.5765074491500854]"
CU02703,36762,F1B1-Test CW make up regulator on #3 chiller.,CF-P001,No power,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.5505136251449585, 0.5376163125038147, 0.5375843644142151]"
CU02703,149937,B/027 strainers.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.4804520606994629, 0.4759647846221924, 0.43993598222732544]"
CU02703,152914,Chiller #3 failure.,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Compressor System Failure: Inadequate system differential pressure']","[0.5996136665344238, 0.5750641226768494, 0.5729349851608276]"
CU02703,132108,Drain condenser water on #3 chiller,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.5737895369529724, 0.566937267780304, 0.5571784973144531]"
CU02703,67181,Checked B/027 chilled water make up regulating valve.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Refrigerant Operated Control Valve: Stuck', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.4869404137134552, 0.4838435649871826, 0.4778048098087311]"
CU02703,83439,Chilled water make up test.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.5008488893508911, 0.4947890043258667, 0.48466676473617554]"
CU02703,100609,Test chilled water make up regulator B027,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.5075892210006714, 0.5046913027763367, 0.4869479537010193]"
CU02703,78221,Test regulater,CF-P006,Liquid hammer,"['Refrigerant Operated Control Valve: Leaking bellows or capillary', 'Refrigerant Operated Control Valve: Stuck', 'Refrigerant Metering Device: Failed float valve']","[0.4868485629558563, 0.47580254077911377, 0.45621156692504883]"
CU02703,167099,Lubrication alarm #3 chiller,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Compressor, Lubrication Failure: Incorrect oil']","[0.5770140886306763, 0.5712259411811829, 0.5707597732543945]"
CU02703,106820,Flush chilled water through chillers 1 and 3.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.6595085859298706, 0.6554304957389832, 0.6512376666069031]"
CU02703,74358,CW make up test,CF-P006,Liquid hammer,"['Refrigerant Operated Control Valve: Leaking bellows or capillary', 'Refrigerant Operated Control Valve: Stuck', 'Pressure Relief Valve (Safety Valve): Fails to reseat']","[0.4464917778968811, 0.4354762136936188, 0.4219571053981781]"
CU02703,70055,Blow down flow meter not working.,CF-P008,Pump failure,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Operated Control Valve: Failed spring', 'Compressor System Failure: Inadequate system differential pressure']","[0.5456913709640503, 0.4111941456794739, 0.40180760622024536]"
CU02703,128854,Material,CF-P007,Low evaporator pressure,"['Heat Exchangers: Evaporator: Water side fouling', 'Heat Exchangers: Condenser: Water side fouling', 'Heat Exchangers: Evaporator: Water side freezing']","[0.4721725881099701, 0.4370763301849365, 0.408557653427124]"
CU02703,109710,Test CW.valve B/027,CF-P002,No pumping/insufficient fluid flow,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Operated Control Valve: Failed spring', 'Refrigerant Operated Control Valve: Leaking bellows or capillary']","[0.4662471115589142, 0.439678430557251, 0.4377310276031494]"
CU02703,67328,F1B1 #3chiller oil leak,CF-P006,Compressor failure,"['Compressor, Shaft seal: Leakage', 'Compressor, Gaskets: Leakage', 'Compressor System Failure: Inadequate system differential pressure']","[0.5741637349128723, 0.5720335841178894, 0.5377195477485657]"
CU02704,51733,grease,CF-P004,Compressor failure,"['Compressor System Failure: Inadequate system differential pressure', 'Compressor, Lubrication Failure: Incorrect oil', 'Compressor, Lubrication Failure: High or low oil pressure']","[0.5514895915985107, 0.5326708555221558, 0.5308395624160767]"
CU02704,166232,Strainer plugged on # 4 chiller.,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.653695285320282, 0.6473599076271057, 0.6341294646263123]"
CU02704,57710,Tower makeup valve failed,CF-P001,No power,"['Refrigerant Operated Control Valve: Failed spring', 'Refrigerant Operated Control Valve: Stuck', 'Refrigerant Operated Control Valve: Leaking bellows or capillary']","[0.44376182556152344, 0.4049054980278015, 0.3891603946685791]"
CU02704,97792,switched towers and chillers.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.5551959872245789, 0.5347418189048767, 0.5214837789535522]"
CU02704,78226,Greased #4 chiller,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.5582799911499023, 0.5399601459503174, 0.5261456966400146]"
CU02704,139541,Switch equipment,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.49918004870414734, 0.4981100261211395, 0.4716731011867523]"
CU02704,7145,Greased #4 chiller compressor motor.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.6571574807167053, 0.6374980807304382, 0.6355656385421753]"
CU02704,55063,Meter not working,CF-P002,No pumping/insufficient fluid flow,"['Refrigerant Metering Device: Failed float valve', 'Refrigerant Metering Device: Plugged', 'Refrigerant Operated Control Valve: Failed spring']","[0.6274142861366272, 0.46673816442489624, 0.41093161702156067]"
CU02704,157345,Switch equipment.,CF-P004,Compressor failure,"['Compressor System Failure: Inadequate system differential pressure', 'Compressor, Impeller: Wear, cracked', 'Refrigerant Operated Control Valve: Stuck']","[0.5705575346946716, 0.47617748379707336, 0.4440355598926544]"
CU02704,129765,Greased chiller #4.,CF-P003,No cooling/insufficient cooling,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.6703612208366394, 0.6513405442237854, 0.6439647078514099]"
CU02704,103284,"Plugged condenser d.p. sensing lines, tubes and strainer.",CF-P002,No pumping/insufficient fluid flow,"['Refrigerant Metering Device: Failed float valve', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.504077672958374, 0.48622870445251465, 0.4861896336078644]"
CU02704,54473,Leak check B/704 chiller,CF-P001,No power,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.5825539827346802, 0.5540102124214172, 0.5514965653419495]"
CU02704,70054,Lub.#4 chiller motor.,CF-P004,Compressor failure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure']","[0.5769868493080139, 0.5659722685813904, 0.5334503054618835]"
CU02704,30302,FIBI:Switched chillers and tower twice.,CF-P004,Compressor failure,"['Compressor System Failure: Inadequate system differential pressure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Elastomer failure']","[0.5195594429969788, 0.5120580196380615, 0.479378342628479]"
CU02704,62395,Leak check #4 chiller,CF-P007,Low evaporator pressure,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure']","[0.5757442712783813, 0.5756924748420715, 0.5548893213272095]"
CU02704,147929,Switch equipment,CF-P002,No pumping/insufficient fluid flow,"['Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: General tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Plastic tubing failure', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection: Component failure']","[0.49918004870414734, 0.4981100261211395, 0.4716731011867523]"
